id_player;experiment_condition;turn_token;turn_number;position_clicked;card_clicked;time_game;time_until_match;match;should_be_a_match;game_ended;board_changed;trials;robot_speech;wrong_card;subject
35;II;human;1;[3, 0];equation_3;00:06;00:06;False;;False;False;0;False;False;
35;II;human;2;[2, 1];spain;00:09;00:09;False;;False;False;0;geography;False;
35;II;human;3;[2, 0];paris;00:12;00:12;False;;False;False;0;False;False;
35;II;human;4;[1, 2];argentina;00:14;00:14;False;;False;False;4.5;False;False;
35;II;human;5;[2, 3];result_4;00:18;00:18;False;;False;False;4.5;False;False;
35;II;human;6;[3, 2];result_2;00:21;00:21;False;;False;False;4;False;False;
35;II;math;7;[0, 0];italy;00:23;00:23;False;no;False;False;4;geography;False;math
35;II;math;8;[0, 3];result_3;00:24;00:24;False;no;False;False;3.5;False;False;math
35;II;geography;9;[2, 2];rome;00:29;00:29;False;yes;False;False;3.5;False;False;geography
35;II;geography;10;[2, 1];spain;00:30;00:30;False;no;False;False;3;False;True;geography
35;II;human;11;[3, 1];equation_4;00:35;00:35;False;;False;False;3;False;False;
35;II;human;12;[0, 2];madrid;00:48;00:48;False;;False;False;2.5;False;False;
35;II;human;13;[1, 2];argentina;00:52;00:52;False;;False;False;2.5;False;False;
35;II;human;14;[1, 1];result_1;00:53;00:53;False;;False;False;1.5;False;False;
35;II;human;15;[1, 0];equation_1;00:57;00:57;False;;False;False;1.5;math;False;
35;II;human;16;[1, 1];result_1;01:01;01:01;True;;False;False;5;False;False;
35;II;math;17;[3, 0];equation_3;01:03;00:02;False;yes;False;False;5;math;False;math
35;II;math;18;[0, 0];italy;01:04;00:03;False;no;False;False;4;geography;True;math
35;II;human;19;[1, 3];buenos_aires;01:08;00:07;False;;False;False;4;geography;False;
35;II;human;20;[1, 2];argentina;01:12;00:11;True;;False;False;4;False;False;
35;II;human;21;[0, 2];madrid;01:14;00:02;False;;False;False;4;geography;False;
35;II;human;22;[2, 2];rome;01:18;00:06;False;;False;False;2;False;False;
35;II;human;23;[3, 3];equation_2;01:20;00:08;False;;False;False;2;math;False;
35;II;human;24;[3, 2];result_2;01:25;00:13;True;;False;False;3;math;False;
35;II;math;25;[2, 3];result_4;01:27;00:02;False;yes;False;False;3;False;False;math
35;II;math;26;[0, 3];result_3;01:28;00:03;False;no;False;False;1;math;True;math
35;II;math;27;[2, 3];result_4;01:33;00:08;False;yes;False;False;1;False;False;math
35;II;math;28;[0, 0];italy;01:35;00:10;False;no;False;True;3;False;True;math
35;II;human;29;[0, 0];paris;01:40;00:15;False;;False;False;3;False;False;
35;II;human;30;[0, 1];madrid;01:42;00:17;False;;False;False;2.5;geography;False;
35;II;geography;31;[0, 2];italy;01:46;00:21;False;no;False;False;2.5;False;False;geography
35;II;geography;32;[3, 1];result_4;01:47;00:22;False;no;False;False;2;False;False;geography
35;II;human;33;[0, 3];equation_3;01:51;00:26;False;;False;False;2;False;False;
35;II;human;34;[2, 3];rome;01:59;00:34;False;;False;False;1.5;False;False;
35;II;human;35;[2, 2];result_3;02:02;00:37;False;;False;False;1.5;False;False;
35;II;human;36;[0, 3];equation_3;02:03;00:38;True;;False;False;3;False;False;
35;II;geography;37;[0, 2];italy;02:07;00:04;False;yes;False;False;3;geography;False;geography
35;II;geography;38;[0, 0];paris;02:08;00:05;False;no;False;False;1;geography;True;geography
35;II;human;39;[2, 1];france;02:13;00:10;False;;False;False;1;False;False;
35;II;human;40;[0, 0];paris;02:15;00:12;True;;False;False;2;geography;False;
35;II;human;41;[3, 0];equation_4;02:17;00:02;False;;False;False;2;math;False;
35;II;human;42;[2, 3];rome;02:20;00:05;False;;False;False;1;geography;False;
35;II;human;43;[3, 1];result_4;02:22;00:07;False;;False;False;1;False;False;
35;II;human;44;[3, 0];equation_4;02:24;00:09;True;;False;False;1;False;False;
35;II;geography;45;[2, 3];rome;02:27;00:03;False;yes;False;False;1;False;False;geography
35;II;geography;46;[2, 0];spain;02:29;00:05;False;no;False;True;1;False;True;geography
35;II;human;47;[2, 0];spain;02:32;00:08;False;;False;False;1;geography;False;
35;II;human;48;[0, 2];italy;02:32;00:08;False;;False;False;0.5;False;False;
35;II;human;49;[2, 3];madrid;02:35;00:11;False;;False;False;0.5;geography;False;
35;II;human;50;[2, 0];spain;02:36;00:12;True;;False;False;1;geography;False;
35;II;math;51;[0, 1];rome;02:36;00:00;False;yes;False;False;1;False;False;math
35;II;human;52;[0, 2];italy;02:40;00:04;True;;True;False;0;False;False;
