id_player;experiment_condition;turn_token;turn_number;position_clicked;card_clicked;time_game;time_until_match;match;game_ended;board_changed;robot_speech;wrong_card;subject
17;CS0;human;1;[0, 0];france;00:07;00:07;False;False;False;False;False;
17;CS0;human;2;[2, 2];spain;00:09;00:09;False;False;False;geography;False;
17;CS0;human;3;[0, 3];italy;00:11;00:11;False;False;False;False;False;
17;CS0;human;4;[2, 0];equation_1;00:13;00:13;False;False;False;math;False;
17;CS0;human;5;[3, 1];equation_4;00:15;00:15;False;False;False;False;False;
17;CS0;human;6;[2, 0];equation_1;00:16;00:16;False;False;False;math;False;
17;CS0;human;7;[3, 3];argentina;00:19;00:19;False;False;False;False;False;
17;CS0;human;8;[1, 3];equation_2;00:22;00:22;False;False;False;False;False;
17;CS0;human;9;[0, 2];result_4;00:26;00:26;False;False;False;False;False;
17;CS0;human;10;[2, 3];result_2;00:28;00:28;False;False;False;False;False;
17;CS0;human;11;[0, 1];equation_3;00:33;00:33;False;False;False;False;False;
17;CS0;human;12;[1, 1];result_3;00:38;00:38;True;False;False;False;False;
17;CS0;human;13;[1, 3];equation_2;00:41;00:03;False;False;False;math;False;
17;CS0;human;14;[2, 3];result_2;00:41;00:03;True;False;False;math;False;
17;CS0;human;15;[3, 3];argentina;00:42;00:01;False;False;False;False;False;
17;CS0;human;16;[2, 2];spain;00:44;00:03;False;False;False;False;False;
17;CS0;human;17;[0, 2];result_4;00:48;00:07;False;False;False;False;False;
17;CS0;human;18;[1, 0];buenos_aires;00:52;00:10;False;False;False;False;False;
17;CS0;human;19;[3, 1];equation_4;00:57;00:16;False;False;False;math;False;
17;CS0;human;20;[1, 2];rome;01:12;00:31;False;False;False;False;False;
17;CS0;human;21;[0, 0];france;01:15;00:34;False;False;False;False;False;
17;CS0;human;22;[1, 0];buenos_aires;01:18;00:37;False;False;True;False;False;
17;CS0;human;23;[3, 0];equation_4;01:22;00:41;False;False;False;False;False;
17;CS0;human;24;[1, 0];result_4;01:24;00:43;True;False;False;False;False;
17;CS0;math;25;[2, 1];argentina;01:27;00:03;False;False;False;geography;False;math
17;CS0;math;26;[1, 2];rome;01:28;00:04;False;False;False;geography;False;math
17;CS0;human;27;[3, 3];france;01:33;00:09;False;False;False;geography;False;
17;CS0;human;28;[0, 3];paris;01:34;00:10;True;False;False;geography;False;
17;CS0;human;29;[3, 1];buenos_aires;01:36;00:02;False;False;False;geography;False;
17;CS0;human;30;[2, 1];argentina;01:36;00:02;True;False;False;geography;False;
17;CS0;geography;31;[0, 0];madrid;01:38;00:02;False;False;False;geography;False;geography
17;CS0;geography;32;[3, 2];spain;01:39;00:03;True;False;False;False;False;geography
17;CS0;human;33;[0, 2];result_1;01:43;00:04;False;False;False;math;False;
17;CS0;human;34;[2, 2];equation_1;01:44;00:05;True;False;False;math;False;
17;CS0;human;35;[1, 2];rome;01:46;00:02;False;False;False;geography;False;
17;CS0;human;36;[2, 0];italy;01:46;00:02;True;True;False;False;False;
